Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,Status,Deemed Assets,Deemed Liability,Number of Wells,,,Area Name,Deemed Assets,Deemed Liability,,,,,,,,,
Well,Provost,0178200,105/03-20-040-12W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0178212,1C3/16-16-040-07W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0180161,103/13-29-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0181314,1W2/12-27-040-07W4/00,Suspended Oil,Ellerslie,AlphaBow,1,HUGHENDEN BASAL QUARTZ NORTH NO 1 UNIT,x,-,0,48718,x,48718,,,,
Well,Provost,0181322,104/01-27-040-01W4/00,Suspended Oil,Ostracod,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0181769,1C2/04-22-040-07W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0181772,1C0/13-15-040-07W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0188413,1B3/12-27-040-07W4/00,Suspended Oil,Dina,AlphaBow,1,HUGHENDEN BASAL QUARTZ NORTH NO 1 UNIT,x,-,0,48718,x,48718,,,,
Well,Provost,0189240,1C2/15-16-040-07W4/00,Suspended Oil,Dina,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0189603,1D3/05-21-040-07W4/00,Suspended Oil,Dina,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0189646,102/14-33-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0190755,1D2/05-16-040-10W4/00,Suspended Oil,Glauconitic,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0190758,104/07-22-040-10W4/00,Suspended Oil,Lloydminster,AlphaBow,1,-,x,-,30789.97,48718,x,48718,,,,
Well,Provost,0191200,1B0/06-21-040-07W4/00,Suspended Oil,Dina,AlphaBow,1,-,x,-,198834.22,48718,x,48718,,,,
Well,Provost,0191596,1B2/06-21-040-07W4/00,Suspended Oil,Dina,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0196081,100/04-03-041-01W4/00,Suspended Oil,Sparky,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0196083,100/06-03-041-01W4/00,Suspended Oil,Sparky,AlphaBow,1,-,x,-,22673.04,48718,x,48718,,,,
Well,Provost,0199330,1B3/02-33-040-07W4/00,Suspended Oil,Dina,AlphaBow,1,HUGHENDEN BASAL QUARTZ NORTH NO 1 UNIT,x,-,0,48718,x,48718,,,,
Well,Provost,0199820,1B4/06-21-040-07W4/00,Suspended Oil,Dina,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0199822,1B3/06-21-040-07W4/00,Suspended Oil,Dina,AlphaBow,1,-,x,-,161799.85,48718,x,48718,,,,
Well,Provost,0202763,107/04-32-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0204995,106/16-29-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0205024,108/04-32-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0205188,102/02-04-040-12W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0206550,1D4/01-21-040-07W4/00,Suspended Oil,Dina,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0206704,1C3/07-21-040-07W4/00,Suspended Oil,Dina,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0207509,1A2/01-33-040-07W4/00,Suspended Oil,Dina,AlphaBow,1,HUGHENDEN BASAL QUARTZ NORTH NO 1 UNIT,x,-,0,48718,x,48718,,,,
Well,Provost,0207549,1D3/14-28-040-07W4/00,Suspended Oil,Dina,AlphaBow,1,HUGHENDEN BASAL QUARTZ NORTH NO 1 UNIT,x,-,0,48718,x,48718,,,,
Well,Provost,0209009,102/06-03-041-01W4/00,Suspended Oil,Sparky,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0209712,102/07-32-040-07W4/00,Suspended Oil,Dina,AlphaBow,1,HUGHENDEN BASAL QUARTZ NORTH NO 1 UNIT,x,-,0,48718,x,48718,,,,
Well,Provost,0228913,102/11-33-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,7934.04,48718,x,48718,,,,
Well,Provost,0232136,103/05-23-040-10W4/00,Suspended Oil,Dina,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0232137,104/05-23-040-10W4/00,Suspended Oil,Cummings,AlphaBow,1,-,x,-,120739.79,48718,x,48718,,,,
Well,Provost,0232139,106/05-23-040-10W4/00,Suspended Oil,Cummings,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0237430,103/14-33-040-11W4/00,Suspended Oil,Cummings,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0237431,104/14-33-040-11W4/00,Suspended Oil,Dina,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0242159,106/02-32-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0242477,104/13-14-040-10W4/02,Suspended Oil,Blairmore,AlphaBow,1,-,x,-,149993.3,48718,x,48718,,,,
Well,Provost,0243252,105/11-32-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0243361,104/15-29-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0243542,108/01-32-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0243545,105/14-32-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,123443.06,48718,x,48718,,,,
Well,Provost,0244092,106/03-32-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0244926,102/15-06-041-11W4/00,Suspended Oil,Cummings,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0244928,102/10-06-041-11W4/00,Suspended Oil,Cummings,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0245145,109/16-29-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0248529,107/02-32-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0248536,106/06-32-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0248557,109/06-32-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0250947,103/14-06-041-11W4/00,Suspended Oil,Glauconitic,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0250949,105/14-06-041-11W4/00,Suspended Oil,Glauconitic,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0250950,106/14-06-041-11W4/00,Suspended Oil,Glauconitic,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0250951,103/15-06-041-11W4/00,Suspended Oil,Glauconitic,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
