Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,0,29084411.87,,0,,
Type,Area Name,License #,Well UWI/ Facility Surface Location,Status,Formation,Licensee,Company WI%,Unit Name,Offer Op,Offer N-O,Deemed Assets,Deemed Liability,Cascade,Other Offers,,
Facility,-,F42197, 00/08-14-064-14W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F42209, 00/03-12-065-14W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F42219, 00/07-15-065-13W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F42221, 00/04-21-064-14W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F42231, 00/11-01-065-14W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F42232, 00/16-27-065-15W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F42237, 00/12-01-065-14W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F42382, 00/10-35-062-14W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F42383, 00/09-15-063-14W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F42384, 00/05-27-065-13W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F42385, 00/11-31-064-13W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F42386, 00/15-06-065-13W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F42387, 00/06-34-063-14W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F42388, 00/12-36-062-14W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F42389, 00/07-35-063-14W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F42390, 00/16-31-062-14W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F42391, 00/12-36-063-14W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F42392, 00/12-19-064-13W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F42393, 00/03-02-063-14W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F42394, 00/15-03-063-14W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F42395, 00/13-13-064-15W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F42396, 00/12-08-065-13W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F42397, 00/02-27-065-15W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F42398, 00/10-03-064-14W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F42399, 02/13-13-064-15W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F42403, 00/04-31-064-13W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F42404, 00/03-07-065-13W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F42412, 00/14-24-043-16W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F42894, 00/08-19-024-19W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F43004, 00/10-28-039-12W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F4364, 00/02-04-032-24W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
